Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
258,"JP Singh, S Jain, S Arora, UP Singh","Vision-based gait recognition: A survey",2018,"Ieee Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8528404/","https://scholar.google.com/scholar?cites=9164831496959427764&as_sdt=80005&sciodt=0,11&hl=en",1,"2026-08-23 16:47:24","","","",,,,,,258,32.25,65,4,8,"In the digital world of today, global security issues have given rise to video surveillance devices. Gait-based human recognition is an emerging behavioral biometric trait for …","https://ieeexplore.ieee.org/iel7/6287639/8274985/08528404.pdf","https://scholar.google.com/scholar?q=related:tASUarAFMH8J:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
74,"JP Singh, S Jain, S Arora, UP Singh","A Survey of Behavioral Biometric Gait Recognition: Current Success and Future Perspectives: JP Singh et al.",2021,"Archives of Computational Methods …","Springer","https://link.springer.com/article/10.1007/s11831-019-09375-3","https://scholar.google.com/scholar?cites=1522776536340440941&as_sdt=80005&sciodt=0,11&hl=en",2,"2026-08-23 16:47:24","","10.1007/s11831-019-09375-3","",,,,,,74,14.80,19,4,5,"In today digital society, vulnerability to person authentication is a serious issue in real time scenarios like (airport, hospital, metro stations, etc.). This issue has increased the growth of …","","https://scholar.google.com/scholar?q=related:bSffGDH9IRUJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
66,"CC Charalambous, AA Bharath","A data augmentation methodology for training machine/deep learning gait recognition algorithms",2016,"arXiv preprint arXiv:1610.07570","arxiv.org","https://arxiv.org/abs/1610.07570","https://scholar.google.com/scholar?cites=2328976617136669959&as_sdt=80005&sciodt=0,11&hl=en",3,"2026-08-23 16:47:24","","","",,,,,,66,6.60,33,2,10,"There are several confounding factors that can reduce the accuracy of gait recognition systems. These factors can reduce the distinctiveness, or alter the features used to …","https://arxiv.org/pdf/1610.07570","https://scholar.google.com/scholar?q=related:B0Wf0uQvUiAJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
33,"R Anusha, CD Jaidhar","Clothing invariant human gait recognition using modified local optimal oriented pattern binary descriptor",2020,"Multimedia Tools and Applications","Springer","https://link.springer.com/article/10.1007/s11042-019-08400-8","https://scholar.google.com/scholar?cites=5207326006574438223&as_sdt=80005&sciodt=0,11&hl=en",4,"2026-08-23 16:47:24","","10.1007/s11042-019-08400-8","",,,,,,33,5.50,17,2,6,"Human gait is a behavioral characteristic which has received a large amount of consideration in recent times as a biometric identifier. The clothing variance is one of the …","","https://scholar.google.com/scholar?q=related:T9eF02kjREgJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
18,"J Zhang, C Liu","A study of a clothing image segmentation method in complex conditions using a features fusion model",2020,"Automatika","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/00051144.2019.1691835","https://scholar.google.com/scholar?cites=18022070090476084813&as_sdt=80005&sciodt=0,11&hl=en",5,"2026-08-23 16:47:24","","10.1080/00051144.2019.1691835","",,,,,,18,3.00,9,2,6,"According to a priori knowledge in complex conditions, this paper proposes an unsupervised image segmentation algorithm to be used for clothing images that combines …","https://www.tandfonline.com/doi/pdf/10.1080/00051144.2019.1691835","https://scholar.google.com/scholar?q=related:Td4EJENBG_oJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
18,"E Fendri, I Chtourou, M Hammami","Gait-based person re-identification under covariate factors",2019,"Pattern Analysis and Applications","Springer","https://link.springer.com/article/10.1007/s10044-019-00793-4","https://scholar.google.com/scholar?cites=4435473290697914647&as_sdt=80005&sciodt=0,11&hl=en",6,"2026-08-23 16:47:24","","10.1007/s10044-019-00793-4","",,,,,,18,2.57,6,3,7,"Gait is recognized as an effective behavioral biometric trait. Gait pattern information can be captured and perceived from a distance thanks to its noninvasive and less intrusive nature …","https://webusers.i3s.unice.fr/~ichtourou/documents/publications/revues/paa2019.pdf","https://scholar.google.com/scholar?q=related:FznILnX3jT0J:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
10,"R Anusha, CD Jaidhar","Frontal gait recognition based on hierarchical centroid shape descriptor and similarity measurement",2019,"2019 International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8971477/","https://scholar.google.com/scholar?cites=1704465424693681184&as_sdt=80005&sciodt=0,11&hl=en",7,"2026-08-23 16:47:24","","","",,,,,,10,1.43,5,2,7,"Gait recognition is an expanding stream in biometrics, intended to recognize individuals through the investigation of their walking pattern. This pattern is obtained from a distance …","","https://scholar.google.com/scholar?q=related:IFzN6kV6pxcJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
14,"J Medikonda, H Madasu, P Bijaya Ketan","Information set based features for the speed invariant gait recognition",2018,"IET Biometrics","Wiley Online Library","https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-bmt.2016.0136","https://scholar.google.com/scholar?cites=8591051561484796540&as_sdt=80005&sciodt=0,11&hl=en",8,"2026-08-23 16:47:24","","10.1049/iet-bmt.2016.0136","",,,,,,14,1.75,5,3,8,"A novel speed‐invariant gait features called two‐fold information set (2FInS) features that capture both spatial and temporal variations in a gait cycle are proposed in this study. These …","https://ietresearch.onlinelibrary.wiley.com/doi/pdf/10.1049/iet-bmt.2016.0136","https://scholar.google.com/scholar?q=related:fMJdueCLOXcJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
10,"ERHP Isaac, S Elias, S Rajagopalan…","Template-based gait authentication through Bayesian thresholding",2019,"IEEE/CAA Journal of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8600797/","https://scholar.google.com/scholar?cites=5268623772065973744&as_sdt=80005&sciodt=0,11&hl=en",9,"2026-08-23 16:47:24","","","",,,,,,10,1.43,3,4,7,"While gait recognition is the mapping of a gait sequence to an identity known to the system, gait authentication refers to the problem of identifying whether a given gait sequence …","https://www.academia.edu/download/58193506/Template-Based_Gait_Authentication_Through_Bayesian_Thresholding.pdf","https://scholar.google.com/scholar?q=related:8MUrBWjpHUkJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
1,"B Li, J Zhu, W Li","Railway contactless checkout process with identification assisted by gait recognition",2024,"Scientific Reports","nature.com","https://www.nature.com/articles/s41598-024-64637-w","https://scholar.google.com/scholar?cites=10335591238419223225&as_sdt=80005&sciodt=0,11&hl=en",10,"2026-08-23 16:47:24","HTML","","",,,,,,1,0.50,0,3,2,"With business process optimization, technological advancement, equipment capability enhancement, and other means, the Railway Passenger Service Department in China is …","https://www.nature.com/articles/s41598-024-64637-w","https://scholar.google.com/scholar?q=related:uRKelXhlb48J:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
